"WINE_NUM","WINENERY_LINK"
1,"https://www.gitana.md/shop/rezerva/rose-rezerva/"
2,"https://www.gitana.md/shop/rezerva/rose-rezerva/"
3,""
4,""
5,"http://tomaspostigo.es/"
6,"https://www.emiliomoro.com/"
7,"https://www.quintadocrasto.pt/"
8,"https://www.saintclair.co.nz/"
9,"http://www.barrancooscuro.com/"
10,"https://www.maudewines.com/"
11,"https://www.abadia-retuerta.com/"
12,"https://www.riojalta.com/"
13,"https://bodegasaltomoncayo.com/"
14,"https://www.riojalta.com/"
15,"https://www.bodegasmuga.com/"
16,"https://arzuaganavarro.com/"
17,""
18,"https://bosquedematasnos.es/"
19,"https://www.riojalta.com/"
20,"https://craggyrange.com/"
21,"https://perelada.com/"
22,"https://www.luiscanas.com/"
23,"https://www.remirezdeganuza.com/"
24,"https://www.enate.es/"
25,"https://www.rockburn.co.nz/"
26,"https://www.gitana.md/shop/rezerva/rose-rezerva/"
27,"https://www.gitana.md/shop/rezerva/rose-rezerva/"
28,""
29,""
30,"http://tomaspostigo.es/"
31,"https://www.emiliomoro.com/"
32,"https://www.quintadocrasto.pt/"
33,"http://www.barrancooscuro.com/"
34,"https://www.abadia-retuerta.com/"
35,"https://www.riojalta.com/"
36,"https://bodegasaltomoncayo.com/"
37,"https://www.riojalta.com/"
38,"https://www.bodegasmuga.com/"
39,"https://www.arzuaganavarro.com/"
40,""
41,"https://bosquedematasnos.es/"
42,"https://www.riojalta.com/"
43,"https://perelada.com/"
44,"https://www.luiscanas.com/"
45,"https://www.rockburn.co.nz/"
46,"https://www.emiliomoro.com/"
47,"https://www.bodegadominiodelbendito.com/"
48,"https://www.riojalta.com/grupo-la-rioja-alta/bodegas/aster/"
49,"http://www.bodegasalentein.com/"
50,"https://bodegamustiguillo.com/"
51,"https://www.saintclair.co.nz/"
52,"https://www.maudewines.com/"
53,"https://craggyrange.com/"
54,"https://www.remirezdeganuza.com/"
55,"https://www.enate.es/"
56,"https://www.pegasusbay.com/"
57,"https://www.anselmomendes.pt/"
58,"https://www.terrasgauda.com/"
59,"https://www.castelldencus.com/"
60,""
61,"https://www.venuslauniversal.com/"
62,"https://www.cloudybay.co.nz/"
63,"https://www.cloudybay.co.nz/"
64,"https://www.villamaria.co.nz/"
65,"https://www.terrasgauda.com/"
66,"https://josepariente.com/"
67,"https://www.anselmomendes.pt/"
68,"https://pagodeloscapellanes.com/"
69,"https://www.raulperez.com/en/"
70,"https://www.gramona.com/"
71,"https://honorio.wine/"
72,"https://www.greywacke.com/"
73,"https://www.domaineguillemotmichel.net/"
74,"https://invivowines.com/"
75,"https://www.villamaria.co.nz/"
76,"https://www.saintclair.co.nz/"
77,"https://www.maudewines.com/"
78,"https://craggyrange.com/"
79,"https://www.remirezdeganuza.com/"
80,"https://www.enate.es/"
81,"https://www.pegasusbay.com/"
82,"https://www.anselmomendes.pt/"
83,"https://www.terrasgauda.com/"
84,"https://www.castelldencus.com/"
85,""
86,"https://www.venuslauniversal.com/"
87,"https://www.cloudybay.co.nz/"
88,"https://www.cloudybay.co.nz/"
89,"https://www.villamaria.co.nz/"
90,"https://www.terrasgauda.com/"
91,"https://josepariente.com/"
92,"https://www.anselmomendes.pt/"
93,"https://pagodeloscapellanes.com/"
94,"https://www.raulperez.com/en/"
95,"https://www.gramona.com/"
96,"https://honorio.wine/"
97,"https://www.greywacke.com/"
98,"https://www.domaineguillemotmichel.net/"
99,"https://invivowines.com/"
100,"https://www.villamaria.co.nz/"
101,"https://www.vietti.com/"
102,"https://www.vietti.com/"
103,"https://paolosaracco.it/en/"
104,"https://www.gramona.com/"
105,"https://www.prunotto.it/it/"
106,"https://www.raventos.com/"
107,"https://www.maudewines.com/"
108,"https://www.juveycamps.com/"
109,"https://www.juveycamps.com/"
110,"https://www.bodegasmuga.com/"
111,"https://www.juveycamps.com/"
112,"https://www.manfredicantine.it/it/homepage"
113,"https://www.raventos.com/"
114,""
115,"https://www.raventos.com/"
116,"https://amisfield.co.nz/"
117,"https://www.monterossa.com/"
118,"https://valdo.com/"
119,"https://www.abbazia.it/"
120,"http://www.berlucchi.it/"
121,"http://www.costadila.it/"
122,"https://www.cloudybay.co.nz/"
123,"https://www.poggio.it/"
124,"https://mudbrick.co.nz/"
125,"https://akarua.com/"
126,"https://www.frankcornelissen.it/"
127,"https://www.avgvstvsforvm.com/en/"
128,"http://www.dominiodelaguila.com/"
129,"https://domaine-lafage.com/"
130,"https://www.bodegasmuga.com/"
131,""
132,"https://www.acusticceller.com/"
133,"https://domaine-lafage.com/"
134,"https://matiasriccitelli.com/"
135,"https://ollerdelmas.com/"
136,"https://www.canrafolsdelscaus.com/"
137,"https://matiasriccitelli.com/"
138,"https://www.cepa21.com/"
139,"https://matiasriccitelli.com/"
140,"https://www.migueltorres.cl/"
141,"https://www.ippolito1845.it/"
142,""
143,"https://matiasriccitelli.com/"
144,""
145,"https://matiasriccitelli.com/"
146,"https://www.migueltorres.cl/
"
